Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
112.65.219.203,183.94.22.40,17,1113,52500,156,120.492
183.94.22.81,116.162.16.190,6,56166,80,120,120.494
218.106.117.231,27.39.114.112,6,51172,43325,688,120.498
115.156.142.194,18.182.32.116,6,54087,21581,247,120.5
222.191.212.123,183.95.73.13,17,53047,58958,414,120.502
115.156.142.140,222.192.187.243,6,38274,443,930,120.505
115.156.142.193,120.201.61.2,1,,,196,120.507
115.156.143.239,23.66.38.214,17,42409,443,2267,120.507
115.156.141.224,45.205.0.99,6,58551,443,781,120.508
111.13.88.250,115.156.141.155,6,443,46538,3124,120.508
43.136.243.71,115.156.144.108,6,443,7872,795,120.508
218.106.117.236,220.202.20.244,6,54128,443,1591,120.508
182.50.15.211,115.156.141.194,6,80,54253,186,120.513
1.95.21.35,115.156.142.14,6,443,55308,1073,120.515
218.106.117.231,27.44.121.166,6,50830,443,751,120.517
218.106.117.235,112.20.38.6,6,42452,9102,792,120.521
115.156.143.28,49.4.45.95,6,34208,443,1617,120.521
157.148.61.213,218.106.117.234,6,80,45578,3034,120.524
115.156.143.216,69.231.153.77,6,3231,443,528,120.532
124.88.91.115,218.106.117.236,6,80,37104,186,120.534
58.19.27.87,121.29.18.201,6,42902,443,733,120.534
120.240.230.4,115.156.142.63,1,,,196,120.536
69.231.153.77,115.156.144.249,6,443,50359,5135,120.537
182.61.200.16,222.20.85.1,6,443,61151,2675,120.539
121.194.7.243,115.156.143.48,6,443,2379,126,120.539
115.156.142.194,18.182.32.116,6,56729,21581,436,120.541
222.192.187.240,115.156.141.18,6,443,41676,4972,120.545
115.156.142.3,121.51.29.191,6,55522,80,21148,120.545
113.56.147.85,183.95.73.30,6,443,53643,1114,120.547
115.156.142.182,120.53.101.199,6,55870,443,220,120.547
175.22.51.131,115.156.141.117,1,,,196,120.552
183.94.22.24,122.96.56.181,6,58195,47642,464,120.553
157.148.41.176,183.95.73.65,6,443,59603,4604,120.562
106.12.24.96,183.95.73.84,6,7824,43036,263,120.566
115.156.143.4,210.42.68.8,6,4583,80,390,120.567
61.241.53.230,183.94.22.31,6,443,40504,695,120.568
115.156.142.194,18.182.32.116,6,53489,21581,132,120.569
115.156.144.92,101.75.246.23,1,,,196,120.57
115.156.144.176,101.75.246.23,1,,,196,120.57
115.156.141.153,43.141.69.67,6,12873,80,546,120.572
210.42.68.3,115.156.143.228,6,80,4636,36695,120.572
115.156.144.116,222.192.187.241,6,41204,443,660,120.574
183.94.22.11,110.253.188.148,6,51026,443,2047,120.578
114.118.67.104,115.156.141.101,6,443,56720,2411,120.581
120.92.107.6,115.156.142.236,6,443,47418,1720,120.582
111.4.129.140,115.156.143.143,6,20231,58998,37454,120.585
58.216.14.5,115.156.142.39,1,,,196,120.586
115.156.143.198,58.205.215.150,6,50445,443,3123,120.588
157.148.78.20,218.106.117.236,17,1097,57832,234,120.588
109.244.228.35,115.156.141.174,17,443,60153,6485,120.59
