Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
210.42.68.5,115.156.144.100,6,80,54424,195574,609.349
58.19.27.66,101.200.157.148,17,60996,26619,25993,10151.055
218.197.195.202,35.190.80.1,17,56305,443,2430,392.48
115.156.143.86,111.47.131.147,6,4626,443,2095,468.197
36.150.232.176,115.156.144.93,6,20023,54131,3264,1128.182
111.161.97.243,183.95.73.59,17,36483,58943,16910,1129.22
116.211.206.11,115.156.143.39,6,80,33450,1328,4.609
218.106.117.236,202.90.110.15,6,54723,443,1719,19.027
210.42.68.3,115.156.143.4,6,80,4559,339217,157.739
222.192.187.248,115.156.141.143,6,443,50398,5263,530.922
43.141.132.36,115.156.141.153,6,80,20314,43896,352.902
116.132.222.242,183.95.73.30,6,443,38614,2978,121.027
23.56.25.217,115.156.141.17,6,443,50480,3088,199.428
115.156.142.191,154.8.187.11,6,58278,443,1420,74.66
115.156.144.159,222.192.187.177,17,52097,443,1424,185.232
115.156.143.126,222.192.187.246,6,59146,443,3761,323.896
202.114.0.250,111.60.116.224,6,443,2681,5678,23.769
36.212.44.166,115.156.143.10,6,24155,46776,22018,257.07
202.114.0.250,171.43.158.80,6,443,1186,10194,26.258
122.189.234.56,183.94.22.37,6,443,55300,2014,12.9
120.194.72.184,115.156.141.189,6,18800,47020,336358,3301.388
203.205.136.93,183.94.22.38,6,80,33121,6176,1169.366
43.137.29.237,222.20.86.189,6,443,58239,2299,72.446
115.156.142.12,121.194.11.73,6,6017,443,1486,234.986
134.175.215.112,115.156.255.113,6,80,43794,1811,291.511
101.28.132.87,218.106.117.232,6,80,58683,102690,44.105
58.19.27.13,60.1.20.202,17,40205,10475,7847,1566.265
115.156.142.38,222.125.12.185,17,29991,47599,6593,6260.816
115.156.144.177,118.184.136.49,6,52899,19313,1119,978.999
112.132.119.67,183.94.22.10,6,443,58953,1580,60.525
202.114.3.191,223.113.138.204,6,52112,443,3446,135.565
119.167.131.94,183.94.22.30,6,443,37710,41059,351.415
81.69.116.102,115.156.144.216,17,443,37840,1512,178.947
183.94.22.83,112.84.131.83,6,55114,443,2258,1437.263
183.94.22.26,220.202.192.214,17,57799,43346,554584,8820.605
58.19.27.37,119.42.231.2,6,50670,443,1044,255.234
153.37.103.110,183.94.22.95,17,11988,57374,54248,14609.225
122.188.184.180,183.95.73.44,6,443,43528,1340,127.459
111.48.51.9,115.156.143.244,6,443,37278,16764,110.57
221.15.71.64,218.106.117.230,6,443,4506,1070,68.979
43.141.131.144,115.156.141.153,6,80,19962,75921,1943.144
118.77.66.182,183.95.73.64,17,1383,22044,196152,1553.689
58.19.27.19,116.132.223.233,6,52339,443,1938,59.736
116.148.161.135,183.95.73.90,6,443,44308,5243,455.51
157.148.61.213,183.95.73.22,6,80,41694,1514,45.494
116.153.60.140,183.94.22.71,6,443,61936,5013,109.274
202.114.0.250,218.4.143.149,6,443,30305,10952,62.878
119.97.167.60,115.156.141.225,6,80,4697,434968,2210.288
112.235.85.158,183.94.22.40,17,16016,43896,1314,6172.931
115.156.144.40,121.194.7.242,6,60023,443,1906,3182.77
119.36.224.12,183.95.73.44,6,443,50761,16637,4874.466
116.162.78.51,218.106.117.236,17,443,52333,21725,10309.065
115.156.143.2,119.96.5.106,6,50639,80,1006,94.726
121.194.11.73,115.156.141.134,6,443,41370,1699,137.458
115.156.143.2,175.27.207.200,17,59684,443,11299,55.708
115.156.142.149,120.232.17.41,6,36464,10222,3879,844.454
157.148.45.30,183.95.73.33,6,443,59034,3016,6.913
222.192.187.248,222.20.32.149,6,443,62883,3255,156.235
113.201.153.35,183.94.22.83,6,443,43642,55336,7757.764
115.156.141.206,120.53.70.106,6,45112,8080,10160,1412.961
125.36.181.16,183.94.22.10,6,443,41012,1831,103.512
58.19.27.50,220.198.245.178,17,59274,1718,1104,1570.079
116.153.64.46,183.94.22.53,6,80,42800,43024,519.681
115.156.141.194,109.244.169.14,6,6580,10012,3358,24.399
218.106.117.236,122.189.171.96,6,41128,443,3643,1537.813
203.107.62.243,183.95.73.78,6,443,49928,74439,1472.906
120.92.107.7,183.94.22.28,6,443,41552,3094,65.194
106.84.129.85,115.156.141.208,17,29725,60964,199845,14096.603
119.36.164.38,183.94.22.44,6,443,61571,6050,683.461
121.194.11.73,218.197.197.128,6,443,55531,1025,93.197
183.95.73.76,58.19.160.206,6,44744,443,2758,2014.749
118.184.136.138,115.156.142.81,6,29046,4470,105613,1301.645
180.184.60.109,115.156.142.221,6,443,45404,1317,27.409
119.96.5.57,183.94.22.28,6,443,43090,2978,31.12
115.156.143.177,222.192.186.76,6,7524,443,5733,1746.933
116.162.16.130,183.94.22.81,6,80,56147,4583,90.04
119.97.181.245,218.106.117.231,6,80,3828,5520,1025.012
116.153.64.175,183.94.22.83,6,443,52254,2440,47.948
122.191.18.50,183.94.22.91,6,19999,56022,6354,3545.045
36.250.241.204,218.106.117.236,17,33411,2875,2018,7509.083
114.250.63.33,183.95.73.30,6,443,56371,4627,218.873
119.36.89.134,218.106.117.236,6,443,58102,8337,8737.199
202.114.0.144,42.186.25.178,6,63751,443,2011,67.707
115.156.142.166,101.126.6.142,6,43908,443,1156,28.69
58.19.27.78,58.19.160.225,17,50054,8001,79408,14421.554
115.156.142.228,210.42.68.7,6,37348,80,4722,99.616
175.27.37.31,115.156.144.211,6,80,35394,6002,1687.588
221.194.141.158,183.95.73.92,6,443,42960,3362,76.231
120.53.70.106,115.156.141.210,6,8080,33502,2082,1188.332
115.156.141.164,213.152.161.244,17,30972,35871,13605,8809.131
183.94.22.91,203.119.174.148,6,49894,443,1291,190.62
49.70.141.132,218.106.117.234,17,54153,54543,101985,391.968
115.156.141.12,222.192.187.245,6,53898,443,1393,69.993
20.198.2.181,115.156.143.31,6,443,5199,1100,394.142
115.156.143.26,210.42.68.9,6,42918,80,4756,140.528
23.224.117.12,218.106.117.235,6,443,48230,1574,1.622
58.19.27.72,211.91.65.232,6,58540,443,1396,121.668
115.156.143.169,121.194.10.215,6,35256,443,73266,10489.658
81.69.116.102,222.20.68.144,6,443,63753,2803,89.306
167.100.68.249,115.156.141.164,17,16874,30972,5687,9059.065
140.207.124.177,183.95.73.24,6,443,7718,1850,23.827
61.240.206.12,183.94.22.19,6,443,61566,1832,68.423
43.141.131.62,115.156.141.42,6,443,52393,10019,128.86
210.42.68.12,115.156.144.58,6,80,37886,162254,65.683
101.34.191.138,183.95.73.71,6,443,52222,2798,101.344
116.153.60.140,218.106.117.236,6,443,39150,2190,1.297
120.84.12.115,183.95.73.87,17,31355,54776,2622,3001.199
202.90.108.64,115.156.141.161,6,443,60936,1110,74.101
153.101.170.182,218.106.117.230,17,40778,53482,10933,17.028
115.156.144.220,180.168.168.90,6,49841,443,1628,583.679
58.19.27.40,27.44.123.42,6,55280,8081,1745,27.673
111.47.102.196,115.156.141.14,17,38661,45340,8312,88.527
106.11.226.222,115.156.141.144,17,443,52760,26777,4327.635
13.107.5.93,115.156.133.117,6,443,54181,4939,97.727
119.36.175.60,183.95.73.100,6,443,51130,2609,72.643
171.82.57.38,115.156.144.96,17,30838,44932,1656,4344.038
58.205.220.13,115.156.135.14,6,443,52660,42366,271.293
121.194.7.244,115.156.141.168,6,443,59030,17444,365.551
114.55.236.88,183.94.22.59,6,443,55620,3654,124.071
115.156.141.92,202.90.20.133,6,49866,443,3208,1975.101
115.156.142.63,122.188.1.45,6,48794,443,4338,873.366
121.194.7.239,115.156.143.121,6,443,7485,4354,2062.72
58.19.27.85,119.36.33.64,6,46116,443,1006,40.69
13.107.42.12,122.205.5.129,6,443,49462,1574,405.932
119.36.175.53,218.106.117.231,6,443,52508,44120,130.932
113.194.50.188,183.95.73.30,6,443,41380,33265,152.86
123.52.155.83,115.156.142.97,6,62489,60716,37474,142.794
115.156.142.194,18.182.32.116,6,61365,21581,1022,114.186
115.156.143.105,121.194.5.47,6,50786,80,1106,72.444
69.231.153.77,222.20.107.149,6,443,49651,1672,183.26
182.61.200.110,115.156.214.28,6,80,5541,10544,19.942
36.138.81.70,218.106.117.230,6,25724,38500,26988,38.701
182.61.200.101,222.20.85.163,6,443,33044,4608,331.963
121.194.11.72,115.156.143.213,6,443,56004,3536,1535.701
182.207.98.148,115.156.143.248,6,999,50584,49236,482.86
122.189.236.41,218.106.117.236,6,443,49300,215334,8972.949
115.156.143.254,101.50.8.9,6,43760,443,3192,196.817
218.106.117.231,116.136.188.184,6,7561,443,3074,59.49
163.177.4.83,218.106.117.231,6,443,58880,4009,190.601
119.36.34.171,218.106.117.236,6,80,5090,626270,7453.744
175.27.43.196,115.156.144.200,17,443,60348,6960,101.474
115.156.144.172,183.131.178.88,6,3706,443,1634,46.162
115.156.144.214,222.192.187.244,6,61595,443,5666,1669.131
210.42.68.12,115.156.144.92,6,80,43726,824126,7660.779
182.32.169.91,115.156.143.239,17,16852,54246,21687,9066.665
183.95.73.89,157.148.36.249,6,6959,443,2378,72.716
203.107.62.243,183.94.22.18,6,443,8781,1499,141.12
182.92.170.253,115.156.142.79,6,443,45556,8172,1056.862
39.166.163.228,115.156.142.108,6,9102,36616,179705,388.787
112.19.142.236,115.156.134.10,6,443,65481,2011,861.874
1.95.21.34,115.156.142.236,6,443,56054,1241,5803.361
115.156.144.231,120.48.240.156,6,38736,443,1934,88.751
58.19.27.59,122.188.5.23,6,6795,443,2504,74.601
51.158.151.99,183.94.22.52,6,45000,9076,450042,2995.754
36.148.41.66,183.94.22.40,17,37451,51294,39968,4024.521
115.156.141.164,122.150.173.233,17,30972,7396,3910,3568.389
115.156.144.54,106.225.242.94,6,50729,443,1498,177.983
120.220.145.116,115.156.144.11,6,443,50684,61348,1159.275
36.249.88.95,183.95.73.85,6,80,53650,1740583,10436.259
122.191.18.197,183.95.73.45,6,443,54186,7832,61.234
106.14.49.5,115.156.143.9,6,443,6776,1888,457.666
183.95.73.89,120.52.83.74,6,53028,443,14238,1785.728
183.95.73.73,58.19.1.125,17,8721,8157,2470,6471.088
222.20.103.20,117.190.80.31,6,53564,80,3054,180.241
110.242.70.175,183.94.22.96,6,443,56854,6446,1837.377
218.106.117.236,112.132.119.64,6,49390,443,1198,101.68
115.156.143.211,36.156.60.144,6,7134,443,2012,113.915
183.95.73.15,220.202.7.95,6,54795,443,3160,113.429
116.162.34.80,183.95.73.81,6,443,40820,2844,165.997
